n_acceso,cambio,actividad,anillo,fecha,historial_actividades,estado_ciclo,observacion_caso_atipico,estado_validacion,detalle_inconsistencia,conteo_duplicados
#############################################,C328236,INSTALACION,HUACALBOCE32,2011-09-23,INSTALACION (C328236),ACTIVO,IDSERVICIO_INFERIDO,INCONSISTENCIA,obs_atipica_IDSERVICIO_INFERIDO,1.0
#############################################,C280126,INSTALACION,MEASF01,2014-03-03,INSTALACION (C280126),ACTIVO,IDSERVICIO_INFERIDO,INCONSISTENCIA,obs_atipica_IDSERVICIO_INFERIDO,1.0
#############################################,C287793,RETIRO,MEACBLBORI01,2014-03-06,RETIRO (C287793),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
#############################################,C322579,INSTALACION,HUACALBOBA14,2014-04-08,INSTALACION (C322579),ACTIVO,IDSERVICIO_INFERIDO,INCONSISTENCIA,obs_atipica_IDSERVICIO_INFERIDO,1.0
#############################################,C320353,INSTALACION,HUACALCMBS02,2014-04-15,INSTALACION (C320353),ACTIVO,IDSERVICIO_INFERIDO,INCONSISTENCIA,obs_atipica_IDSERVICIO_INFERIDO,1.0
0,336131,ADICION,MEACALCMAU05,2014-05-22,ADICION (336131),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,336169,ADICION,MEACALCMPA02,2014-05-22,ADICION (336169),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,337322,ADICION,MEACALCMCE05,2014-05-27,ADICION (337322),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C336390,AMPLIACION,HUACALCMNO04,2014-05-27,AMPLIACION (C336390),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,337329,ADICION,MEACALCMMU05,2014-05-28,ADICION (337329),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,339454,ADICION,SDMAC01,2014-06-05,ADICION (339454),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,341935,ADICION,HUACALCMNO03,2014-06-17,ADICION (341935),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,342409,ADICION,HACALBOZF08,2014-06-17,ADICION (342409),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,342573,ADICION,HUACH05,2014-06-18,ADICION (342573),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,329391,RETIRO,PENDIENTE,2014-06-26,INSTALACION (329391) → RETIRO (OC-877345) → RETIRO (OC-919147),CANCELADO,OK,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,337334,ADICION,MEACALCMCA01,2014-07-01,ADICION (320018) → ADICION (337334),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,345082,ADICION,MEACALCMCU01,2014-07-02,ADICION (336397) → ADICION (345082),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,344908,ADICION,HUAZF01,2014-07-04,ADICION (344908),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,347634,AMPLIACION,HUACALBONO19,2014-07-11,AMPLIACION (347634),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,347656,AMPLIACION,HUACALCMCE03,2014-07-11,AMPLIACION (347656),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,347924,AMPLIACION,HUACALCMTO03,2014-07-11,AMPLIACION (347924),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
